pcode1,pcode2,pcode3,match_shape,TF
VE23,VE2313,VE231302,VE231302,TRUE
VE23,VE2313,VE231303,VE231303,TRUE
VE23,VE2313,VE231304,VE231304,TRUE
VE23,VE2313,VE231305,VE231305,TRUE
VE23,VE2313,VE231306,VE231306,TRUE
VE23,VE2313,VE231307,VE231307,TRUE
VE23,VE2313,VE231308,VE231308,TRUE
VE23,VE2313,VE231309,VE231309,TRUE
VE23,VE2313,VE231310,VE231310,TRUE
VE23,VE2313,VE231311,VE231311,TRUE
VE23,VE2313,VE231312,VE231312,TRUE
VE23,VE2313,VE231313,VE231313,TRUE
VE23,VE2313,VE231314,VE231314,TRUE
VE23,VE2313,VE231315,VE231315,TRUE
VE23,VE2313,VE231316,VE231316,TRUE
VE23,VE2313,VE231317,VE231317,TRUE
VE23,VE2313,VE231318,VE231318,TRUE
VE23,VE2314,VE231401,VE231401,TRUE
VE23,VE2315,VE231501,VE231501,TRUE
VE23,VE2315,VE231503,VE231503,TRUE
VE23,VE2315,VE231504,VE231504,TRUE
VE23,VE2316,VE231601,VE231601,TRUE
VE23,VE2317,VE231701,VE231701,TRUE
VE23,VE2317,VE231702,VE231702,TRUE
VE23,VE2317,VE231703,VE231703,TRUE
VE23,VE2317,VE231704,VE231704,TRUE
VE23,VE2317,VE231705,VE231705,TRUE
VE23,VE2317,VE231706,VE231706,TRUE
VE23,VE2320,VE232002,VE232002,TRUE
VE23,VE2321,VE232101,VE232101,TRUE
VE23,VE2321,VE232102,VE232102,TRUE
VE24,VE2402,VE240201,VE240201,TRUE
VE24,VE2402,VE240202,VE240202,TRUE
VE24,VE2402,VE240203,VE240203,TRUE
VE24,VE2402,VE240204,VE240204,TRUE
VE24,VE2402,VE240205,VE240205,TRUE
VE24,VE2402,VE240206,VE240206,TRUE
VE24,VE2402,VE240207,VE240207,TRUE
VE24,VE2402,VE240208,VE240208,TRUE
VE24,VE2402,VE240209,VE240209,TRUE
VE24,VE2402,VE240211,VE240211,TRUE
